,locationId,location,entity,parameter,value,sensor_lat,sensor_lon,local_time
153,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.0,42.29289,-83.073135,2023-06-06 17:03:31-04:00
154,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.4,42.29289,-83.073135,2023-06-06 17:01:31-04:00
155,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.5,42.29289,-83.073135,2023-06-06 16:57:31-04:00
156,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.0,42.29289,-83.073135,2023-06-06 16:55:31-04:00
157,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.0,42.29289,-83.073135,2023-06-06 16:51:31-04:00
158,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.8,42.29289,-83.073135,2023-06-06 16:49:31-04:00
159,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.2,42.29289,-83.073135,2023-06-06 16:47:32-04:00
160,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.8,42.29289,-83.073135,2023-06-06 16:45:32-04:00
161,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.9,42.29289,-83.073135,2023-06-06 16:43:31-04:00
162,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.5,42.29289,-83.073135,2023-06-06 16:41:31-04:00
163,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.4,42.29289,-83.073135,2023-06-06 16:39:31-04:00
164,64955,AQSU-WindsorWest-1,Community Organization,pm25,18.9,42.29289,-83.073135,2023-06-06 16:37:31-04:00
165,64955,AQSU-WindsorWest-1,Community Organization,pm25,19.9,42.29289,-83.073135,2023-06-06 16:35:31-04:00
166,64955,AQSU-WindsorWest-1,Community Organization,pm25,20.7,42.29289,-83.073135,2023-06-06 16:33:31-04:00
167,64955,AQSU-WindsorWest-1,Community Organization,pm25,23.4,42.29289,-83.073135,2023-06-06 16:31:34-04:00
168,64955,AQSU-WindsorWest-1,Community Organization,pm25,22.9,42.29289,-83.073135,2023-06-06 16:29:31-04:00
169,64955,AQSU-WindsorWest-1,Community Organization,pm25,23.9,42.29289,-83.073135,2023-06-06 16:27:31-04:00
170,64955,AQSU-WindsorWest-1,Community Organization,pm25,24.5,42.29289,-83.073135,2023-06-06 16:25:31-04:00
171,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.9,42.29289,-83.073135,2023-06-06 16:23:31-04:00
172,64955,AQSU-WindsorWest-1,Community Organization,pm25,25.3,42.29289,-83.073135,2023-06-06 16:21:31-04:00
173,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.2,42.29289,-83.073135,2023-06-06 16:19:31-04:00
174,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.2,42.29289,-83.073135,2023-06-06 16:17:31-04:00
175,64955,AQSU-WindsorWest-1,Community Organization,pm25,27.0,42.29289,-83.073135,2023-06-06 16:13:31-04:00
